Equation 1,Equation 2,Value of X,Value of Y
17x - 16y = 137,19x + 18y = 189,9,1
10x + 3y = 37,2x + 6y = 56,1,9
11x + 18y = -169,20x + 20y = -180,1,-10
5x + y = 46,3x + 20y = 144,8,6
7x + 3y = 86,14x + 10y = 212,8,10
6x - 10y = -80,18x + 11y = 334,10,14
14x + 11y = 133,5x + 14y = 118,4,7
6x + y = 17,x + 7y = 37,2,5
4x + 20y = 92,x + 3y = 15,3,4
19x + 10y = 201,12x + y = 111,9,3
11x - 7y = -72,19x + 10y = 207,3,15
14x + 18y = 190,10x + 14y = 146,2,9
11x + 4y = 102,15x + 2y = 108,6,9
19x + 6y = 140,13x + 13y = 78,8,-2
5x + 3y = 45,8x + 10y = 124,3,10
15x - 11y = 44,16x + 6y = 242,11,11
15x + 4y = 174,19x + 13y = 268,10,6
3x - 15y = -63,20x + 4y = 308,14,7
8x + 20y = 12,4x + 15y = -9,9,-3
18x + 18y = 324,9x + 18y = 243,9,9
3x + 15y = 90,4x + y = 44,10,4
7x - 12y = -130,8x + 11y = 148,2,12
17x + 15y = 25,13x + 9y = 29,5,-4
12x - 5y = -39,10x + 11y = 195,3,15
19x + 3y = 75,15x + 4y = 69,3,6
16x + 15y = 134,8x + 4y = 88,14,-6
7x + 7y = 98,19x + 4y = 176,8,6
8x + 17y = -36,17x + 5y = 48,4,-4
19x + 6y = 150,4x + 6y = 60,6,6
14x + 16y = 106,18x + 17y = 147,11,-3
4x + 8y = 76,15x + 19y = 197,3,8
8x + 9y = -50,20x + 8y = 20,5,-10
18x - 11y = 8,6x + 17y = 292,9,14
3x + 10y = 35,14x + 17y = 193,15,-1
18x + 16y = 154,14x + 3y = 82,5,4
2x - 9y = -61,9x + 9y = 72,1,7
14x + 19y = 226,3x + 19y = 138,8,6
5x + 8y = 85,3x + 19y = 122,9,5
x + 16y = 167,19x + 18y = 313,7,10
10x + 19y = 42,4x + 8y = 16,8,-2
3x + y = 12,10x + 19y = 87,3,3
20x + 12y = 184,18x + 2y = 192,11,-3
13x - 7y = 21,9x + 18y = 243,7,10
13x + 18y = 240,16x + 15y = 231,6,9
10x + 8y = 110,8x + 15y = 174,3,10
5x + 2y = 40,20x + 16y = 80,12,-10
10x + 13y = 24,16x + 7y = 66,5,-2
13x + 18y = 45,4x + 18y = -36,9,-4
19x + 15y = 135,16x + 14y = 100,15,-10
7x + 2y = 65,x + 7y = 63,7,8
6x + 16y = 76,8x + 17y = 84,2,4
17x + 16y = -43,5x + 15y = -95,5,-8
6x + 4y = 56,14x + y = 89,6,5
5x + 20y = 220,18x + 11y = 243,8,9
9x - 4y = -8,14x + 10y = 166,4,11
10x + 12y = 68,13x + 8y = 58,2,4
x + 4y = 48,19x + y = 162,8,10
3x - 3y = 0,19x + 2y = 273,13,13
3x - 2y = 10,9x + 14y = 50,4,1
9x - 13y = -134,3x + 3y = 36,1,11
9x + 6y = 15,6x + 12y = 18,1,1
10x + 17y = 21,4x + 5y = 21,14,-7
14x + 8y = 76,3x + 9y = 60,2,6
7x - 8y = -17,9x + 15y = 54,1,3
18x - 8y = 80,5x + 19y = 192,8,8
4x + 14y = -48,11x + 15y = -38,2,-4
11x + 14y = -26,8x + 13y = -33,4,-5
10x + 4y = 76,20x + 18y = 192,6,4
19x + 15y = 125,9x + 6y = 57,5,2
6x + 7y = 88,14x + 15y = 192,3,10
6x + 5y = 17,4x + 12y = 20,2,1
11x + 7y = 105,4x + 13y = 80,7,4
15x - 12y = 147,4x + 8y = 84,13,4
x + 4y = 38,10x + 17y = 219,10,7
13x + 4y = 141,14x + 17y = 63,13,-7
14x + 7y = 147,9x + 6y = 102,8,5
18x + 5y = 166,20x + 14y = 252,7,8
11x + 10y = 125,3x + 4y = 29,15,-4
9x + 14y = -31,9x + 17y = -55,9,-8
18x + 10y = 186,20x + 17y = 242,7,6
18x + 9y = 144,19x + 13y = 159,7,2
4x + 15y = -146,14x + 16y = -146,1,-10
2x + 7y = -3,2x + 10y = -12,9,-3
8x + y = 37,13x + 11y = 107,4,5
12x + 12y = 132,17x + 10y = 194,12,-1
5x + 8y = 71,7x + 5y = 56,3,7
15x + 8y = 33,3x + 3y = -6,7,-9
10x + 2y = 18,6x + 2y = 14,1,4
9x + 8y = -37,3x + 15y = -111,3,-8
16x + 19y = 51,9x + 18y = 36,2,1
5x + 5y = 15,8x + 20y = -12,6,-3
6x + 11y = -49,6x + 18y = -84,1,-5
5x + 10y = -50,7x + 12y = -50,10,-10
17x - 3y = 124,5x + 15y = 100,8,4
10x + 14y = 112,8x + 4y = 68,7,3
12x + 8y = 124,12x + 14y = 172,5,8
17x + 6y = 71,19x + 4y = 101,7,-8
10x - 17y = -225,11x + 2y = 63,3,15
3x - 15y = 0,2x + 13y = 69,15,3
10x + 9y = 116,2x + 8y = 48,8,4
8x + 17y = -98,6x + 11y = -56,9,-10
18x + 6y = 96,7x + 12y = 76,4,4
19x + 8y = 41,11x + 6y = 21,3,-2
9x + 4y = 52,16x + 2y = 72,4,4
13x - 16y = 40,9x + 11y = 116,8,4
7x + 20y = 148,19x + 9y = 130,4,6
14x + 8y = 140,14x + 11y = 161,6,7
9x + 6y = 51,16x + 6y = 58,1,7
18x + 17y = 157,19x + 13y = 141,4,5
12x + 10y = 26,7x + 16y = -56,8,-7
9x + 10y = 123,3x + 20y = 141,7,6
5x + 17y = 149,x + 20y = 146,6,7
x + 2y = 8,3x + 7y = 27,2,3
18x + 7y = 263,3x + 10y = 35,15,-1
14x - 12y = 44,4x + 10y = 26,4,1
3x + 18y = 114,10x + 4y = 100,8,5
14x + 13y = -24,17x + 19y = -42,2,-4
5x + 11y = 68,11x + 6y = 95,7,3
20x + 14y = 42,8x + 11y = -21,7,-7
19x + 3y = 270,9x + 2y = 125,15,-5
14x + 6y = 90,11x + 5y = 69,9,-6
14x + 12y = 92,10x + 14y = 82,4,3
19x + 16y = 296,4x + 10y = 122,8,9
9x - 8y = 68,8x + 3y = 111,12,5
13x - 12y = -131,13x + 17y = 217,1,12
4x + 2y = 34,16x + 12y = 132,9,-1
15x - 8y = -6,8x + 18y = 264,6,12
18x + 10y = 72,5x + 19y = -126,9,-9
14x + 14y = 252,9x + 11y = 178,10,8
10x + 10y = -30,16x + 12y = -20,4,-7
10x + 13y = 200,16x + 9y = 202,7,10
12x - 16y = -64,20x + 8y = 136,4,7
9x - 5y = 120,7x + 11y = 138,15,3
8x + 19y = 73,18x + 10y = 66,2,3
6x + 4y = 54,17x + 7y = 127,5,6
9x + 8y = 100,11x + 17y = 180,4,8
7x + 3y = 100,19x + 3y = 220,10,10
x + 11y = 21,20x + 2y = 202,10,1
20x + 8y = 20,6x + 10y = -70,5,-10
17x + 9y = 176,7x + 16y = 11,13,-5
2x + 3y = 18,x + 6y = 27,3,4
4x + 3y = 26,8x + 3y = 58,8,-2
6x + 17y = 160,13x + 17y = 188,4,8
19x + 9y = 66,19x + 14y = 71,3,1
2x + 17y = 25,4x + 7y = 23,4,1
15x + 12y = 171,9x + 11y = 133,5,8
12x + 9y = 189,10x + 17y = 243,9,9
9x - 8y = 37,11x + 20y = 75,5,1
13x - 11y = 127,5x + 2y = 80,14,5
13x - 13y = 13,8x + 5y = 86,7,6
15x + 20y = 105,19x + y = 60,3,3
9x + 9y = 9,3x + 3y = 3,11,-10
9x + 3y = 9,2x + 12y = -100,4,-9
8x + 3y = 92,4x + 19y = 116,10,4
7x + 6y = -21,7x + 12y = -63,3,-7
6x + 3y = 51,5x + 18y = -97,13,-9
10x + 8y = -20,10x + 14y = -50,2,-5
8x - 10y = 32,7x + 9y = 170,14,8
9x + 5y = 95,3x + 5y = 65,5,10
7x + 6y = -25,10x + 2y = 30,5,-10
11x + 9y = 114,14x + 17y = 195,3,9
18x + 15y = 144,10x + 20y = 150,3,6
3x + 2y = 34,5x + 6y = 78,6,8
x + 2y = 17,6x + 9y = 87,7,5
10x + 2y = 62,3x + 20y = 38,6,1
2x + 6y = -30,5x + 20y = -115,9,-8
9x - 18y = -135,12x + 11y = 310,13,14
7x + y = 50,13x + 20y = 111,7,1
6x + 20y = 222,12x + 20y = 264,7,9
7x - 6y = -24,3x + 19y = 227,6,11
7x - 17y = 4,5x + 9y = 24,3,1
6x - 7y = 33,12x + 10y = 138,9,3
15x - 7y = 211,3x + 12y = 69,15,2
9x + 4y = 105,12x + 5y = 141,13,-3
16x + 3y = 155,8x + 6y = 118,8,9
8x + 12y = -24,9x + 20y = -92,12,-10
10x - 3y = 40,19x + 10y = 233,7,10
16x + 19y = 270,2x + 4y = 50,5,10
19x + 9y = 97,6x + 4y = 26,7,-4
20x + 9y = 261,16x + 10y = 234,9,9
15x + 12y = 36,18x + 9y = 81,8,-7
4x - 10y = -20,18x + 16y = 398,15,8
2x + 2y = 24,6x + 7y = 71,13,-1
18x + 5y = 163,9x + 4y = 71,11,-7
20x + 9y = 169,19x + 5y = 157,8,1
5x + 7y = 69,4x + 13y = 107,4,7
15x + 5y = 125,12x + 14y = 200,5,10
5x + 12y = -43,12x + 3y = 0,1,-4
15x + 14y = 58,9x + 14y = 46,2,2
13x - 18y = 32,4x + 16y = 96,8,4
11x + 13y = 205,14x + 11y = 211,8,9
12x + 14y = 164,8x + 6y = 76,2,10
3x + 19y = 31,12x + 11y = 59,4,1
4x + 10y = -68,18x + 13y = 14,8,-10
10x - 18y = 22,18x + 15y = 87,4,1
7x + 12y = 138,11x + 16y = 194,6,8
20x - 7y = 103,6x + 10y = 164,9,11
13x + 11y = 51,9x + 14y = -3,9,-6
10x + 20y = 290,13x + 15y = 267,9,10
11x + 9y = -48,15x + 16y = -99,3,-9
17x + 6y = 188,2x + 7y = 41,10,3
9x - 13y = -73,8x + 16y = 128,2,7
7x + 17y = -149,8x + 6y = -36,3,-10
3x + 20y = 138,13x + 15y = 168,6,6
5x - 2y = 49,2x + 2y = 56,15,13
16x + 11y = 205,2x + 18y = 142,8,7
17x + 6y = 137,8x + 15y = 101,7,3
6x - 11y = -131,4x + 14y = 190,2,13
5x - 6y = 27,16x + 3y = 153,9,3
12x - 14y = 142,6x + 6y = 84,13,1
10x + 6y = 34,13x + 4y = 29,1,4
5x + 13y = 144,14x + 11y = 200,8,8
20x - 2y = 66,17x + 16y = 180,4,7
2x + 6y = 44,19x + 12y = 103,1,7
9x - 8y = 3,11x + 20y = 93,3,3
3x + 12y = -36,6x + 20y = -52,8,-5
4x - 7y = -24,9x + 5y = 195,15,12
19x + 2y = 39,16x + 14y = -78,3,-9
15x + 18y = 27,5x + 5y = 15,9,-6
15x - 17y = -57,15x + 15y = 135,3,6
9x + 7y = 123,16x + 5y = 174,9,6
8x + 18y = 62,5x + 15y = 50,1,3
12x + 16y = 84,14x + 15y = 120,15,-6
3x - 8y = -76,4x + 5y = 71,4,11
19x - 5y = 80,18x + 6y = 108,5,3
10x + 3y = 52,13x + 15y = 1,7,-6
13x + y = 62,13x + 12y = 172,4,10
x + 8y = 59,8x + 13y = 115,3,7
20x + y = 201,5x + 4y = 54,10,1
20x + 13y = -4,10x + 10y = -30,5,-8
7x + 5y = 19,7x + 2y = 37,7,-6
13x + 7y = 74,18x + 12y = 84,10,-8
x + 12y = 32,7x + 14y = 84,8,2
12x + 12y = 144,8x + y = 47,5,7
9x - 9y = -9,18x + 19y = 389,10,11
10x + 4y = 82,16x + 8y = 144,5,8
7x - 8y = -67,9x + 20y = 247,3,11
10x - 9y = -40,19x + 17y = 265,5,10
16x + 10y = 116,6x + 3y = 42,6,2
9x + 16y = 241,8x + 4y = 112,9,10
3x + 6y = -18,12x + 17y = -44,2,-4
7x + 6y = 53,18x + 5y = 105,5,3
7x + 20y = 210,8x + 14y = 178,10,7
19x + 16y = 134,15x + 16y = 126,2,6
7x - 2y = 34,5x + 16y = 94,6,4
2x - 6y = -22,3x + 13y = 121,10,7
19x - 6y = 11,11x + 16y = 279,5,14
15x + 18y = 105,19x + 2y = 237,13,-5
6x - 3y = 0,16x + 5y = 78,3,6
20x + 5y = 150,10x + 4y = 90,5,10
8x + 14y = 92,14x + 19y = 150,8,2
16x - 7y = 8,14x + 13y = 160,4,8
5x + 3y = 72,12x + 17y = 261,9,9
10x + 11y = 116,12x + 13y = 138,5,6
12x - 2y = 114,5x + 20y = 235,11,9
8x - 7y = 48,7x + 20y = 251,13,8
8x + 6y = -34,19x + 4y = -9,1,-7
18x + 11y = 156,7x + 20y = 155,5,6
9x - 3y = 27,15x + 18y = 390,8,15
4x + 10y = -86,7x + 18y = -155,1,-9
11x + 6y = 153,15x + 5y = 215,15,-2
8x + 13y = 138,12x + 9y = 102,1,10
10x + 4y = 44,7x + 11y = -2,6,-4
16x + 12y = 168,6x + 20y = 94,9,2
11x - 12y = -59,8x + 17y = 343,11,15
3x + 13y = 60,19x + 13y = 172,7,3
19x + 10y = 24,7x + 9y = -39,6,-9
4x + 2y = 14,2x + 10y = -38,6,-5
10x - 17y = 43,8x + 2y = 50,6,1
17x + 20y = 135,12x + 4y = 156,15,-6
5x + 15y = 160,12x + 2y = 112,8,8
14x + 4y = -26,4x + 19y = -186,1,-10
8x + 6y = 82,16x + 8y = 136,5,7
4x - 15y = 7,17x + 11y = 254,13,3
3x + 3y = 18,12x + 16y = 52,11,-5
5x + 17y = 100,17x + 6y = 81,3,5
17x - 16y = -107,13x + 12y = 209,5,12
5x - 17y = -1,8x + 20y = 140,10,3
11x + 8y = 81,16x + 4y = 72,3,6
11x - 5y = 43,15x + 17y = 273,8,9
2x + y = 5,x + 15y = 46,1,3
13x - 5y = 31,4x + 6y = 100,7,12
12x - 17y = -91,20x + 10y = 270,8,11
10x + 2y = 104,6x + 5y = 70,10,2
18x + 17y = 297,20x + 14y = 286,8,9
18x + 17y = 246,16x + 3y = 146,8,6
12x + 7y = 92,5x + 10y = 95,3,8
7x - 16y = -72,2x + 17y = 152,8,8
19x + 14y = 169,18x + 11y = 142,3,8
4x - 2y = -8,6x + 2y = 28,2,8
5x + 16y = -46,6x + 12y = -12,10,-6
5x + 9y = 95,13x + 15y = 205,10,5
3x - 10y = -11,19x + 19y = 95,3,2
5x + 19y = 201,20x + 19y = 291,6,9
11x + 15y = 168,13x + 18y = 201,3,9
14x + 7y = 35,19x + y = 39,2,1
16x - 8y = 88,19x + 8y = 192,8,5
7x - 14y = -105,10x + 7y = 93,3,9
15x + 19y = 291,2x + 10y = 106,8,9
2x + 18y = 24,9x + 10y = 37,3,1
15x - 4y = 186,8x + 7y = 154,14,6
7x + 6y = 87,8x + 3y = 84,9,4
13x - 4y = 31,7x + 7y = 35,3,2
5x + 19y = 58,13x + 18y = 88,4,2
7x + 20y = -146,14x + 14y = -84,2,-8
11x + 19y = -10,7x + 3y = 30,6,-4
7x - 12y = -80,7x + 4y = 64,4,9
15x - 18y = 51,4x + 12y = 148,13,8
6x + 4y = -20,18x + 11y = -52,2,-8
8x + 7y = 39,14x + 16y = 72,4,1
12x - 13y = -2,4x + 19y = 326,15,14
17x + 18y = -60,5x + 12y = -78,6,-9
18x + 7y = 96,6x + 9y = 72,3,6
11x + 15y = -124,18x + 12y = -90,1,-9
20x + 6y = 100,12x + 19y = 214,2,10
2x + 13y = 77,2x + 14y = 82,6,5
2x + 17y = 86,x + 2y = 17,9,4
6x + 13y = 116,17x + 12y = 130,2,8
8x + 10y = 146,x + 15y = 142,7,9
9x + 8y = 74,11x + 19y = 155,2,7
20x - 12y = 32,13x + 16y = 116,4,4
3x + 13y = 81,12x + y = 18,1,6
14x - 10y = 60,11x + 5y = 150,10,8
11x + 14y = 250,18x + 4y = 220,10,10
17x + 15y = -39,18x + 17y = -48,3,-6
18x - 9y = -81,12x + 15y = 177,1,11
13x + 3y = 102,8x + 19y = 200,6,8
18x + 9y = 135,17x + 12y = 145,5,5
14x + 5y = 25,13x + 11y = -34,5,-9
4x + 10y = 50,17x + 5y = 175,10,1
4x + 14y = 30,3x + 14y = 26,4,1
10x + 6y = 126,10x + 19y = 204,9,6
2x + 10y = 60,x + 10y = 50,10,4
18x + 18y = -54,13x + 4y = -3,1,-4
10x + 20y = 90,8x + 15y = 70,5,2
8x + 10y = 12,16x + 13y = 38,4,-2
17x + 7y = 168,12x + 10y = 154,7,7
2x + 14y = 104,17x + 3y = 72,3,7
18x + 5y = 102,20x + 13y = 158,4,6
19x + 16y = 67,15x + 17y = 66,1,3
9x + 3y = 93,15x + 3y = 135,7,10
14x - 6y = -20,18x + 20y = 390,5,15
20x - 9y = 112,5x + 15y = 235,11,12
11x - 7y = -38,17x + 12y = 101,1,7
6x + 15y = 105,6x + 3y = 45,5,5
3x + 7y = 79,11x + 11y = 143,3,10
6x + 15y = 144,19x + 19y = 228,4,8
17x + 6y = 125,11x + 10y = 87,7,1
15x + 8y = 31,10x + 20y = 50,1,2
10x + 4y = 38,11x + 4y = 45,7,-8
14x - 13y = 1,20x + 16y = 520,14,15
2x + 8y = 64,13x + 14y = 188,8,6
2x + y = 11,5x + 14y = 62,4,3
14x + 13y = 150,10x + 16y = 134,7,4
4x + y = 19,7x + 12y = 105,3,7
19x + 14y = 254,14x + 5y = 134,6,10
2x + 4y = 10,18x + 9y = 36,1,2
14x + 20y = 166,4x + 9y = 54,9,2
12x + 18y = 42,5x + 9y = 13,8,-3
9x + 8y = 105,8x + 8y = 96,9,3
8x + y = 32,x + 11y = 91,3,8
12x + 9y = 27,17x + 11y = 47,6,-5
9x + 14y = 105,5x + 13y = 74,7,3
x + 3y = 22,3x + 16y = 115,1,7
10x + 20y = -10,17x + 20y = 39,7,-4
10x + 2y = 44,13x + 14y = 137,3,7
4x + 5y = 31,12x + 2y = 54,4,3
7x + 18y = 229,5x + 14y = 175,7,10
10x - 2y = 100,9x + 11y = 218,12,10
16x - 13y = 65,16x + 19y = 417,13,11
13x + 8y = 98,10x + 12y = 52,10,-4
4x + 12y = 112,16x + 7y = 202,10,6
14x - 7y = -35,15x + 10y = 225,5,15
4x - 17y = -23,9x + 8y = 87,7,3
13x + 14y = 159,x + 20y = 69,9,3
x + 3y = 5,3x + 8y = 14,2,1
19x + 16y = 102,7x + 7y = 42,2,4
18x - 16y = -100,5x + 2y = 56,6,13
13x + 10y = -41,15x + 7y = -11,3,-8
19x + 10y = 207,15x + 10y = 155,13,-4
5x + 13y = -112,7x + 2y = -11,1,-9
14x - 10y = 6,11x + 16y = 291,9,12
10x - 17y = -108,12x + 18y = 408,13,14
13x - 16y = -133,3x + 7y = 119,7,14
7x + 18y = 88,7x + 16y = 86,10,1
2x + 7y = -49,9x + 16y = -81,7,-9
9x - 11y = -81,15x + 11y = 129,2,9
17x + 5y = 18,18x + 9y = -18,4,-10
14x + 6y = 118,20x + 13y = 173,8,1
8x + 13y = 79,19x + 16y = 143,5,3
14x + 14y = 126,6x + 13y = 82,5,4
10x + 17y = 117,x + 6y = 16,10,1
10x + 8y = 60,x + 15y = 77,2,5
8x - 3y = 25,4x + 19y = 279,8,13
6x + 10y = 122,x + 7y = 63,7,8
19x + 13y = -2,3x + 12y = -60,4,-6
6x + 2y = 20,19x + 6y = 61,1,7
15x - 5y = 50,7x + 2y = 71,7,11
8x + 12y = 0,11x + 12y = 45,15,-10
17x - 7y = -46,17x + 11y = 116,1,9
4x + 2y = 30,4x + 20y = 48,7,1
7x - 12y = -79,3x + 17y = 254,11,13
3x + y = 29,13x + 2y = 107,7,8
17x + 4y = 117,13x + 2y = 81,5,8
15x + 5y = 140,7x + 14y = 147,7,7
18x + 3y = 183,20x + 3y = 205,11,-5
17x + 11y = 156,18x + 18y = 108,15,-9
17x - 3y = 126,14x + 6y = 180,9,9
7x + 17y = 189,18x + 17y = 299,10,7
20x - 9y = 71,4x + 6y = 22,4,1
12x + y = 118,x + 11y = 119,9,10
x + 4y = 34,19x + 10y = 250,10,6
7x + 5y = 52,12x + 4y = 112,11,-5
6x - 4y = 60,10x + 7y = 182,14,6
19x - 10y = 66,4x + 10y = 26,4,1
6x + 13y = 135,5x + 10y = 105,3,9
16x - 16y = -80,13x + 13y = 273,8,13
5x + 12y = 94,14x + 3y = 49,2,7
9x + 12y = 108,18x + 13y = 183,8,3
12x + 11y = -28,5x + 18y = -119,5,-8
16x + 19y = -25,17x + 7y = 13,2,-3
9x + 13y = 31,7x + 17y = 31,2,1
6x + 15y = -63,9x + 4y = 35,7,-7
6x + 16y = 208,2x + 15y = 166,8,10
12x + 4y = 100,19x + 13y = 185,7,4
15x - 2y = 63,16x + 15y = 170,5,6
6x + 17y = -11,3x + 11y = -8,1,-1
12x - 12y = 132,11x + 2y = 134,12,1
5x + 6y = 70,13x + 5y = 76,2,10
12x + 17y = 249,11x + 13y = 205,8,9
15x - 10y = 85,19x + 20y = 369,11,8
9x + 14y = 19,3x + 19y = -94,13,-7
6x - 11y = -36,19x + 20y = 215,5,6
11x + 11y = -11,12x + 18y = -66,8,-9
11x + 18y = 137,11x + 5y = 46,1,7
9x - 3y = 36,16x + 5y = 188,8,12
3x + 20y = 115,7x + 11y = 90,5,5
x + 4y = 29,9x + 11y = 111,5,6
5x + 3y = 60,15x + 5y = 140,6,10
3x - 11y = -67,15x + 20y = 265,7,8
4x + 5y = 49,6x + 7y = 69,1,9
5x - 13y = -94,17x + 9y = 372,15,13
19x + 20y = 135,x + 20y = 45,5,2
9x + 17y = 46,8x + 5y = 51,7,-1
2x + 9y = 56,8x + 5y = 38,1,6
14x + 3y = 118,x + 11y = 30,8,2
9x - 5y = 32,10x + 9y = 152,8,8
10x - 6y = 20,3x + 14y = 243,11,15
17x - 4y = 65,5x + 12y = 85,5,5
4x - 13y = 4,10x + 6y = 164,14,4
17x + 12y = 176,8x + 2y = 50,4,9
12x - 18y = 30,10x + 10y = 50,4,1
10x + 16y = 116,11x + 10y = 82,2,6
6x + 7y = 61,19x + 5y = 73,2,7
12x + 3y = 138,8x + 9y = 162,9,10
6x - 13y = -94,2x + 5y = 62,6,10
4x + 7y = 37,7x + 8y = 52,4,3
19x - 17y = -35,14x + 5y = 167,8,11
4x - 7y = -46,20x + 4y = 316,13,14
12x + 10y = -8,8x + 16y = -24,1,-2
3x - 4y = 25,17x + 2y = 191,11,2
17x + 10y = 179,13x + 16y = 187,7,6
9x - 6y = -75,2x + 11y = 156,1,14
18x + 18y = -72,16x + 20y = -84,1,-5
6x + 5y = -11,11x + 6y = 2,4,-7
11x + 4y = 120,19x + 5y = 192,8,8
13x - 14y = 23,15x + 15y = 120,5,3
3x - 14y = -207,20x + 11y = 185,1,15
14x + 4y = 128,17x + 7y = 149,10,-3
15x + 11y = 116,8x + 12y = 68,7,1
14x + 6y = 154,10x + 17y = 199,8,7
2x + 7y = -41,13x + 10y = 53,11,-9
3x + 15y = 33,13x + 11y = 89,6,1
2x + 8y = 52,12x + 11y = 164,10,4
10x - 2y = 62,12x + 8y = 116,7,4
16x - 14y = 146,4x + 18y = 58,10,1
13x + 19y = 198,18x + 17y = 209,5,7
11x + y = 119,18x + 15y = 315,10,9
10x - 14y = 4,10x + 3y = 157,13,9
9x + 14y = 114,17x + 10y = 166,8,3
x + 9y = 88,x + 11y = 106,7,9
8x + 7y = 38,18x + 6y = 66,3,2
11x + 11y = -11,16x + 16y = -16,2,-3
14x + 6y = 20,9x + 15y = -54,4,-6
20x - 2y = 280,14x + 11y = 320,15,10
17x + 16y = 181,x + 7y = 47,5,6
10x + 17y = 124,10x + y = 92,9,2
15x + 5y = 160,20x + 4y = 200,9,5
14x + 14y = 252,14x + 11y = 228,10,8
17x + 13y = 253,11x + 13y = 205,8,9
3x - 15y = -156,20x + 16y = 236,3,11
9x + 16y = -20,13x + 7y = 100,12,-8
16x + 20y = -8,6x + 3y = 42,12,-10
x + 13y = 123,20x + y = 129,6,9
14x + 19y = 170,2x + 2y = 20,4,6
20x + 3y = 132,5x + 18y = 102,6,4
17x - 3y = 192,13x + 16y = 220,12,4
8x + 11y = 76,11x + 6y = 141,15,-4
2x + 15y = 49,11x + 11y = 55,2,3
20x - 13y = 41,18x + 20y = 132,4,3
17x + 4y = 125,3x + 14y = -71,9,-7
4x + 19y = 122,7x + 7y = 56,2,6
18x - 17y = 40,20x + 16y = 184,6,4
8x + 18y = -12,8x + 9y = 6,3,-2
2x + 12y = -14,6x + 18y = 12,11,-3
18x - 12y = 84,18x + 4y = 164,8,5
16x - 12y = -68,20x + 3y = 185,7,15
9x + 2y = 49,10x + 15y = 80,5,2
18x + 18y = 216,18x + 14y = 224,14,-2
6x - 7y = -20,5x + 15y = 275,13,14
4x + 11y = -58,5x + 6y = -26,2,-6
18x + 17y = -81,19x + 7y = 13,4,-9
5x - 2y = 19,4x + 20y = 296,9,13
9x + 14y = 98,10x + 6y = 128,14,-2
16x + 8y = 208,4x + 9y = 108,9,8
9x + 9y = 117,20x + 6y = 190,8,5
10x + 5y = 85,20x + 13y = 197,4,9
12x + 11y = 102,14x + 13y = 120,3,6
9x + 15y = 168,8x + 17y = 175,7,7
9x + 19y = 122,18x + 12y = 114,3,5
16x + 18y = 168,9x + 10y = 94,6,4
10x + 9y = 29,5x + 10y = 20,2,1
4x + 9y = 79,17x + 10y = 138,4,7
13x + 12y = 51,15x + 14y = 59,3,1
2x + 19y = 80,14x + 4y = 44,2,4
10x + 7y = 110,7x + 19y = 218,4,10
9x + 7y = 106,20x + y = 90,4,10
16x + 11y = 156,5x + 18y = 107,7,4
11x + 6y = 61,3x + 10y = -67,11,-10
x + 16y = 65,6x + 16y = 70,1,4
7x + 4y = 69,14x + 8y = 138,15,-9
13x - 9y = 111,15x + 16y = 260,12,5
8x + 18y = -164,4x + 8y = -72,2,-10
8x + 14y = 84,7x + 14y = 77,7,2
17x + 13y = 115,5x + 5y = 35,6,1
16x + 4y = 84,19x + y = 96,5,1
2x + 17y = 154,17x + 17y = 289,9,8
13x - 16y = 27,7x + 15y = 109,7,4
5x - 17y = 13,9x + 10y = 64,6,1
10x - 9y = -32,5x + 2y = 36,4,8
6x + 7y = 6,20x + 11y = 94,8,-6
4x + 18y = 160,13x + 12y = 148,4,8
15x - 7y = 153,13x + 9y = 223,13,6
18x + 15y = -39,18x + 17y = -49,2,-5
14x - 13y = -116,6x + 10y = 106,1,10
11x + 12y = 142,14x + y = 38,2,10
20x + 4y = 212,7x + 8y = 61,11,-2
16x + 17y = 232,20x + y = 128,6,8
16x + 13y = 51,18x + 4y = 68,4,-1
19x + 4y = 99,2x + 19y = 29,5,1
5x + 4y = 38,2x + 16y = 116,2,7
17x - 7y = -1,12x + 19y = 119,2,5
10x - 13y = -110,17x + 10y = 134,2,10
16x + 17y = 129,2x + 4y = 18,7,1
10x + 7y = 9,13x + 19y = -18,3,-3
12x - 6y = 48,2x + 14y = 68,6,4
17x + 3y = 116,15x + 4y = 101,7,-1
17x + 20y = 196,x + 4y = 20,8,3
18x + 12y = 42,9x + 3y = 51,9,-10
16x + 10y = 220,6x + 19y = 174,10,6
14x + 15y = 89,16x + 7y = 51,1,5
11x - 7y = -20,6x + 18y = 120,2,6
8x + 9y = 89,3x + 7y = 66,1,9
13x + 5y = 59,15x + 8y = 77,3,4
9x + 3y = 87,20x + 6y = 190,8,5
5x + 2y = 50,19x + 15y = 153,12,-5
x + 16y = 167,15x + 17y = 275,7,10
3x + 7y = -18,8x + 19y = -49,1,-3
19x + 12y = 31,13x + 12y = 25,1,1
18x + 5y = 69,16x + 4y = 60,3,3
12x + 4y = 144,20x + 13y = 297,9,9
13x - 12y = -10,20x + 5y = 55,2,3
17x + 16y = 239,3x + 3y = 42,15,-1
6x + 17y = 171,16x + 12y = 156,3,9
7x + 15y = 139,9x + 13y = 141,7,6
18x + 2y = 122,6x + 16y = 10,7,-2
7x + 7y = 112,2x + 3y = 42,6,10
4x + 15y = 151,19x + 20y = 256,4,9
8x + 15y = 122,14x + 12y = 128,4,6
18x + 18y = 198,10x + 5y = 90,7,4
